title;sinopsis;main genre;second genre;author;num_page;avg_rating;rating;myrate;date_read;date_added
Beach Read;A romance writer who no longer believes in love and a literary writer stuck in a rut engage in a summer-long challenge that may just upend everything they believe about happily ever afters.Augustus Everett is an acclaimed author of literary fiction. January Andrews writes bestselling romance. When she pens a happily ever after, he kills off his entire cast.They’re polar opposites.In fact, the only thing they have in common is that for the next three months, they're living in neighboring beach houses, broke, and bogged down with writer's block.Until, one hazy evening, one thing leads to another and they strike a deal designed to force them out of their creative ruts: Augustus will spend the summer writing something happy, and January will pen the next Great American Novel. She’ll take him on field trips worthy of any rom-com montage, and he’ll take her to interview surviving members of a backwoods death cult (obviously). Everyone will finish a book and no one will fall in love. Really.;Romance;Contemporary;Henry, Emily;361;4.04;3;liked it;Jun 10, 2022;Feb 28, 2022
Las bestias olvidadas de Eld;Ganadora del primer premio World Fantasy en 1975, y finalista del premio Locus y Mythopoeic Sybel es una poderosa hechicera que vive aislada en la montaña de Eld. Su única compañía son las sabias y mágicas bestias que han estado bajo su cuidado desde que su padre falleció.Los asuntos y vidas humanas, sus guerras, pasiones y sueños le son ajenos hasta que un día un desconocido con un bebé en brazos irrumpe en su hogar enredándola en los complejos hilos que tejen los hombres. Perdida su serenidad, se verá forzada a abandonar su refugio y enfrentarse a sus demonios interiores, en una lucha por mantenerse libre y fiel a sí misma que transformará para siempre el reino de Eldwold.;Fantasy;Fiction;McKillip, Patricia A.;276;4.08;4;really liked it;Jun 09, 2022;Jun 07, 2022
Sucedió un verano;Piper Bellinger es una influencer del mundo de la moda y su reputación de alocada hace que la persigan los paparazzi. Tras acabar en el calabozo por organizar una fiesta ilegal con demasiado champán en la azotea de un hotel, su padrastro decide que esa es la gota que colma el vaso. De modo que la deja sin dinero y para que aprenda lo que es la responsabilidad, la envía… al estado de Washington, donde acabará regentando el bar de su difunto padre junto con su hermana.Piper no lleva ni cinco minutos en Westport cuando conoce a Brendan, un corpulento y barbudo capitán de barco, que cree que no durará ni una semana lejos de Beverly Hills. ¿Qué pasa si es una negada con las matemáticas y si la idea de dormir en un piso cochambroso con literas le da escalofríos? Tan malo no puede ser, ¿verdad? Está decidida a demostrarle a su padrastro, y también a ese capitán de barco tan guapo y gruñón, que es más que una cara bonita.El problema es que está en un pueblo pequeño y se cruza con Brendan cada dos por tres. La extrovertida reina de las fiestas y el pescador gruñón son polos opuestos, pero la química que surge entre ellos es innegable. Piper no quiere distracciones, ni mucho menos sentir algo por un hombre que se pasa semanas faenando en el mar. Sin embargo, a medida que reconecta con su pasado y empieza a sentirse como en casa en Westport, empieza a plantearse si la fría y glamurosa vida que ha llevado hasta el momento es la que desea de verdad. Aunque siente la llamada de Los Ángeles, tal vez Brendan y ese pueblo lleno de recuerdos hayan conquistado su corazón.;Romance;Contemporary;Bailey, Tessa;384;4.04;3;liked it;Jun 06, 2022;Jun 05, 2022
A Court of Frost and Starlight;Hope warms the coldest night.;Fantasy;Romance;Maas, Sarah J.;229;3.81;4;really liked it;Jun 02, 2022;May 03, 2022
To Love Jason Thorn;Jason Thorn… My brother’s childhood friend.  Oh, how stupidly in love with that boy I was. He was the first boy that made me blush, my first official crush. Sounds beautiful so far, right? That excitement that bubbles up inside you, those famous butterflies you feel for the very first time—he was the reason for them all. But, you only get to live in that fairytale world until they crush your hopes and dreams and then stomp on your heart for good measure. And boy did he crush my little heart into pieces.  After the stomping part he became the boy I did my best to stay away from—and let me tell you, it was pretty hard to do when he slept in the room right across from mine. When tragedy struck his family and they moved away, I was ready to forget he ever existed.  Now he is a movie star, the one who makes women of all ages go into a screaming frenzy, the one who makes everyone swoon with that dimpled smile of his. Do you think that’s dreamy? I certainly don’t think so. How about me coming face to face with him? Nope still not dreamy. Not when I can’t even manage to look him in the eye.  Me? I’m Olive, a new writer. Actually, I’m THE writer of the book that inspired the movie he is about to star in on the big screen. As of late, I am also referred to as the oh-so-very-lucky girl who is about to become the wife of Jason Thorn. Maybe you’re thinking yet again that this is all so dreamy? Nope, nothing dreamy going on here. Not even close.  To Love Jason Thorn is a full-length standalone, which also contains some pretty hot and descriptive sex scenes. *winks*;Romance;Contemporary;Maise, Ella;428;3.83;2;it was ok;May 30, 2022;May 28, 2022
The Spanish Love Deception;"Catalina Martín desperately needs a date to her sister’s wedding. Especially since her little white lie about her American boyfriend has spiralled out of control. Now everyone she knows—including her ex and his fiancée—will be there and eager to meet him.She only has four weeks to find someone willing to cross the Atlantic and aid in her deception. New York to Spain is no short flight and her raucous family won’t be easy to fool.Enter Aaron Blackford—her tall, handsome, condescending colleague—who surprisingly offers to step in. She’d rather refuse; never has there been a more aggravating, blood-boiling, and insufferable man.But Catalina is desperate, and as the wedding draws nearer, Aaron looks like her best option. And she begins to realize he might not be as terrible in the real world as he is at the office.";Romance;Contemporary;Armas, Elena;487;3.91;4;really liked it;May 29, 2022;Nov 10, 2021
Tower of Dawn;Chaol Westfall and Nesryn Faliq have arrived in the shining city of Antica to forge an alliance with the Khagan of the Southern Continent, whose vast armies are Erilea's last hope. But they have also come to Antica for another purpose: to seek healing at the famed Torre Cesme for the wounds Chaol received in Rifthold.After enduring unspeakable horrors as a child, Yrene Towers has no desire to help the young lord from Adarlan, let alone heal him. Yet she has sworn an oath to assist those in need—and will honor it. But Lord Westfall carries shadows from his own past, and Yrene soon comes to realize they could engulf them both.In this sweeping parallel novel to the New York Times bestselling Empire of Storms, Chaol, Nesryn, and Yrene will have to draw on every scrap of their resilience if they wish to save their friends. But while they become entangled in the political webs of the khaganate, deep in the shadows of mighty mountains where warriors soar on legendary ruks, long-awaited answers slumber. Answers that might offer their world a chance at survival—or doom them all . . .;Fantasy;Young Adult;Maas, Sarah J.;660;4.27;4;really liked it;May 25, 2022;May 12, 2022
Empire of Storms;This is a previously published edition of ISBN 9781619636071. An alternative cover edition for this ISBN can be found here.Kingdoms will collide.The long path to the throne has only just begun for Aelin Galathynius as war looms on the horizon. Loyalties have been broken and bought, friends have been lost and gained, and those who possess magic find themselves at odds with those who don't.With her heart sworn to the warrior-prince by her side, and her fealty pledged to the people she is determined to save, Aelin will delve into the depths of her power to protect those she loves. But as monsters emerge from the horrors of the past, and dark forces become poised to claim her world, the only chance for salvation will lie in a desperate quest that may mark the end of everything Aelin holds dear.In this breathtaking fifth installment of the New York Times bestselling Throne of Glass series, Aelin will have to choose what—and who—to sacrifice if she's to keep the world of Erilea from breaking apart.;Fantasy;Young Adult;Maas, Sarah J.;689;4.57;5;it was amazing;May 21, 2022;May 12, 2022
Queen of Shadows;Everyone Celaena Sardothien loves has been taken from her. But she’s at last returned to the empire—for vengeance, to rescue her once-glorious kingdom, and to confront the shadows of her past…She has embraced her identity as Aelin Galathynius, Queen of Terrasen. But before she can reclaim her throne, she must fight.She will fight for her cousin, a warrior prepared to die for her. She will fight for her friend, a young man trapped in an unspeakable prison. And she will fight for her people, enslaved to a brutal king and awaiting their lost queen’s triumphant return.The fourth volume in the New York Times bestselling series continues Celaena’s epic journey and builds to a passionate, agonizing crescendo that might just shatter her world.;Fantasy;Young Adult;Maas, Sarah J.;648;4.56;5;it was amazing;May 18, 2022;May 12, 2022
Heir of Fire;Celaena has survived deadly contests and shattering heartbreak-but at an unspeakable cost. Now, she must travel to a new land to confront her darkest truth . . . a truth about her heritage that could change her life-and her future-forever. Meanwhile, brutal and monstrous forces are gathering on the horizon, intent on enslaving her world. Will Celaena find the strength to not only fight her inner demons, but to take on the evil that is about to be unleashed?;Fantasy;Young Adult;Maas, Sarah J.;565;4.46;5;it was amazing;May 16, 2022;May 12, 2022
Crown of Midnight;"""A line that should never be crossed is about to be breached.It puts this entire castle in jeopardy—and the life of your friend.""From the throne of glass rules a king with a fist of iron and a soul as black as pitch. Assassin Celaena Sardothien won a brutal contest to become his Champion. Yet Celaena is far from loyal to the crown. She hides her secret vigilantly; she knows that the man she serves is bent on evil.Keeping up the deadly charade becomes increasingly difficult when Celaena realizes she is not the only one seeking justice. As she tries to untangle the mysteries buried deep within the glass castle, her closest relationships suffer. It seems no one is above questioning her allegiances—not the Crown Prince Dorian; not Chaol, the Captain of the Guard; not even her best friend, Nehemia, a foreign princess with a rebel heart.Then one terrible night, the secrets they have all been keeping lead to an unspeakable tragedy. As Celaena's world shatters, she will be forced to give up the very thing most precious to her and decide once and for all where her true loyalties lie... and whom she is ultimately willing to fight for.";Fantasy;Young Adult;Maas, Sarah J.;420;4.36;5;it was amazing;May 14, 2022;May 12, 2022
La espada de la asesina;La esperadísima precuela de Trono de Cristal nos presenta cinco nuevas historias en las que se nos desvelan secretos del pasado de la asesina Celaena Sardothien.Celaena Sardothien es la asesina más temida de Adarlan. Como parte del Gremio de Asesinos, ha jurado proteger a su maestro, Arobynn Hamel, pero Celaena no escucha a nadie y solo confía en su amigo Sam.En esta precuela cargada de acción, Celaena se embarca en cinco arriesgadas misiones que la llevan a visitar islas remotas y hostiles desiertos, allí liberará a gente de la esclavitud y castigará la tiranía. Pero al actuar por cuenta propia, ¿conseguirá librarse del yugo de su maestro o sufrirá un inimaginable castigo por su traición?;Fantasy;Young Adult;Maas, Sarah J.;512;4.32;5;it was amazing;May 12, 2022;May 06, 2022
Trono de cristal;Tras un año de trabajos forzados en las minas de sal, la joven asesina Celaena Sardothien ha sido convocada por el príncipe del Reino de Endovier. Celaena no ha acudido con la intención de acabar con la vida del príncipe, sino con el deseo de conquistar su libertad. Si vence a veintitrés asesinos, ladrones y guerreros en una competición a vida o muerte, será liberada de prisión para ejercer como campeona real.El príncipe la aconsejará. El capitán de la guardia la protegerá. Pero algo maligno se esconde en el palacio de cristal, y está allí para matar. Mientras sus competidores van muriendo uno a uno, la lucha de Celaena por conquistar su libertad se convierte en una lucha por sobrevivir y en una incesante búsqueda del origen del mal antes de que destruya el mundo.;Fantasy;Young Adult;Maas, Sarah J.;512;4.19;5;it was amazing;May 04, 2022;May 03, 2022
